icnrtname,applydate,genwaste,bizgenwaste,icnrtproqt,btmdustqt,flyashsoldqt,eqeffgasacqt,acteleqt,actseqt,actsep,seincome,oprthour,nooprthour,dsnprcqt,dustlandfillqt,brheat,applyno
臺北市政府環境保護局內湖垃圾焚化廠,200307,12301.74,404.41,13144,1669.93,371.002,10817.1,2751.56,1080.24,39.259,1805.162,1464,768,900,2051.17,0.000,wepa4244
臺北市政府環境保護局北投垃圾焚化廠,200307,21878.43,8677.58,29857,3814.71,1433.2,10050,13362.66,8550.34,63.986,15700.05,2248,728,1800,4947.77,0.000,wepa4427
彰化縣溪州垃圾焚化廠,200307,24418.77,1884.79,25269,3884.59,1274.27,13947,12225.5,9301.4,76.082,16050,1488,0,900,4405.81,0.000,wepn3259
臺南市城西垃圾焚化廠,200307,14676.89,3020.61,21452,2484.76,765.94,6100.95,9755.04,7434,76.206,11588.42,1488,0,900,3118.6,0.000,wepd3244
高雄市仁武垃圾資源回收(焚化)廠,200307,17686.75,13272.24,30349,6069.72,1213.94,13790,16127.3,12409.7,76.948,0,1611,621,1350,9201.64,0.000,weps2225
桃園市垃圾焚化廠,200307,36164.35,4916.64,41194,6897.8,2236.41,21910,23461.7,20250.7,86.313,31826,1488,0,1350,0,0.000,weph4335
新北市樹林垃圾焚化廠,200307,32184.73,0,30940,4772.52,0,10750,14436.2,11574.71,80.178,16615.74,2134,98,1350,0,0.000,WEPF0759
臺北市政府環境保護局木柵垃圾焚化廠,200307,17067.31,4959.75,19301,1645.07,372.92,0,5521.6,3029.29,54.862,4766.096,1692,1284,1500,1918.43,0.000,wepa4059
高雄市岡山垃圾資源回收(焚化)廠,200307,25205.88,17238.96,39107,7821.34,1955.33,15335.4,21167.6,17086.7,80.721,17086.7,2232,0,1350,10328.12,0.000,weps1656
嘉義縣鹿草垃圾焚化廠,200307,14210.12,8429.973,27940,4876.01,1182.12,6577,16974.2,14079.2,82.944,0,1488,0,900,0,0.000,WEPQ7513
新竹市垃圾資源回收廠,200308,13537.19,9088.64,21924,3428.91,1076,10768.3,12688.08,9765.6,76.966,14184.74,1488,0,900,3428.89,3.000,wepo1732
新北市新店垃圾焚化廠,200412,21534.71,0,23330.7,3420.52,0,7440,10817.8,8586.3,79.372,10576.21,1488,0,900,443.54,2.210,WEPF0537
臺北市政府環境保護局內湖垃圾焚化廠,200405,10160.39,3053.33,6845,834.82,0,8738.7,1840.24,830.92,45.152,618,1311,921,900,834.82,2.100,WEPA4244
新北市樹林垃圾焚化廠,200310,25785.95,0,28735,4441.7,700.72,10396,13982.6,11191.4,80.038,13099.9,2081,151,1350,0,2.900,WEPF0759
高雄市岡山垃圾資源回收(焚化)廠,200310,8537.06,11286.96,13871,3705.33,494.34,6024.7,7843.4,5908.9,75.336,5908.9,878,1354,1350,4272.89,0.900,weps1656
臺南市城西垃圾焚化廠,200310,16030.53,3228.81,19100,2707.7,654.12,5431.69,8508.48,6391.44,75.118,6816.377,1254,234,900,2806.06,1.570,wepd3244
高雄市政府環境保護局中區資源回收廠,200307,27595.86,0,21575,2699.9,524,9690,7372.64,4298,58.296,6944.213,1488,744,900,4017.61,0.000,wepe5004
臺中市后里資源回收廠,200307,16851.91,7239.93,26259,4201.56,997.87,8383.58,15687.9,12831.4,81.791,20220.26,1448,40,900,4704.9,0.000,wepl9232
新北市樹林垃圾焚化廠,200306,32510.38,0,33551,4790.4,680.38,10865,15025.5,12189.76,81.127,18266.03,2160,0,1350,0,0.000,WEPF0759
新竹市垃圾資源回收廠,200307,14779.26,9482.33,24705,3739.65,1754,11588.97,13545.31,10296,76.011,15063.37,1488,0,900,3561.41,3.630,wepo1732
嘉義縣鹿草垃圾焚化廠,200409,22310.23,4696.73,25181,3917.63,1007.25,8277,14255.6,11683.7,81.958,21339,1382,58,900,4924.88,1.260,WEPQ7513
高雄市政府環境保護局中區資源回收廠,200308,24362.28,0,23358,1872.16,515,11220,8158.01,5007.44,61.38,7723.428,1734,498,900,1872.16,2.000,wepe5004
臺中市后里資源回收廠,200310,18903.17,7927.6,25742,4614.78,1188,9978.09,15269.2,12652.3,82.861,15853.2,1441,47,900,5605.27,1.400,WEPL9232
