icnrtname,applydate,genwaste,bizgenwaste,icnrtproqt,btmdustqt,flyashsoldqt,eqeffgasacqt,acteleqt,actseqt,actsep,seincome,oprthour,nooprthour,dsnprcqt,dustlandfillqt,brheat,applyno
嘉義縣鹿草垃圾焚化廠,202602,15757.91,5191.04,23808.98,3359.86,794.71,134.4,16433.7,13882.8,84.47,32322.09,1344,0,900,794.71,2.100,WEPQ7513
臺中市烏日資源回收廠,202601,15225.5,9371.97,25787.25,3395.38,987.88,12624.98,17127.87,13978.73,81.61,36085.29,1488,0,900,0,2.200,WEPL0028
嘉義縣鹿草垃圾焚化廠,202601,21063.47,7638.56,27297.37,4323.65,969.37,148.8,18132.2,15373.8,84.78,37367.07,1488,0,900,969.37,0.900,WEPQ7513
新北市八里垃圾焚化廠,202601,26962.75,11033.78,39033.61,4631.83,1513.16,8023,23753.54,20633.41,86.86,50901.32,2232,0,1350,1513.16,1.500,WEPF2314
臺中市后里資源回收廠,202601,11177.25,11710.62,24108.12,3005.63,996.25,11098.82,15614.4,13176.5,84.38,34955.22,1488,0,900,996.25,1.900,WEPL9232
臺南市永康垃圾資源回收(焚化)廠,202601,19679.29,3054.79,25071.67,3100.05,1198.05,10044,16204.84,13672.79,84.37,35728.72,1488,0,900,1198.05,1.400,WEPR8506
彰化縣溪州垃圾焚化廠,202602,21975.28,2142.57,21681.14,2571.67,757.26,11704.32,13830.3,11764.3,85.06,27258.89,1287,57,900,652.16,1.800,WEPN3259
臺北市政府環境保護局北投垃圾焚化廠,202601,10612.16,16574.08,41818.67,4380.47,364.1,10859,14527.77,8947.2,61.58,23020.64,2873,103,1800,0,0.500,WEPA4427
高雄市政府環境保護局中區資源回收廠,202601,19387.35,86.48,18968.08,1890.64,844.58,14961,4919.97,3369.24,68.48,7931.285,1952,280,900,844.58,2.800,WEPE5004
新北市八里垃圾焚化廠,202602,24227.84,10691.12,34008.37,4139.65,1138.67,7253,21302.13,18499.6,86.84,42849.97,2016,0,1350,1138.67,0.700,WEPF2314
嘉義市垃圾焚化廠,202602,6185.4,0,5473.99,750.37,0,1725.64,1581.31,1090.15,68.93,2875.795,1342,2,300,0,-1.000,WEPI2617
宜蘭縣利澤垃圾資源回收(焚化)廠,202602,10040.98,5217.62,16931.53,2328.54,141.09,8064,9703.92,8143.1,83.91,18736.11,1344,0,600,141.09,-1.000,WEPG3008
高雄市岡山垃圾資源回收(焚化)廠,202602,10316.82,14688.41,26915.2,4599.16,1605.26,15554.7,14729.5,11581.6,78.62,27668,1930,86,1350,1605.26,3.500,WEPS1656
臺北市政府環境保護局北投垃圾焚化廠,202602,15529.51,19962.14,34695.12,4036.54,964.73,13847,17415.2,12950.4,74.36,29065.54,2593,95,1800,0,0.500,WEPA4427
高雄市政府環境保護局南區資源回收廠,202602,13519.68,5832.14,21455.83,974,1104.2,8726,8100.53,4838.4,59.72,11124.34,1939,749,1800,1104.2,2.600,WEPE5641
新竹市垃圾資源回收廠,202602,9860.49,3286.68,14981.78,2030.54,559.33,4768,7066.487,5612.021,79.41,10465.29,1093,251,900,1604.8,1.300,WEPO1732
嘉義市垃圾焚化廠,202601,5931.09,0,6393.8,841.66,0,1996.16,1766.5,1227.58,69.49,3474.279,1488,0,300,0,-1.000,WEPI2617
屏東縣崁頂垃圾資源回收(焚化)廠,202601,17372.15,4958.39,20773.26,3242.37,1220.56,6729.04,12717.12,10320.72,81.15,26195.77,1344,144,900,1220.56,0.700,WEPT5929
臺北市政府環境保護局木柵垃圾焚化廠,202601,9464.6,15527.46,27080.01,3640.72,414.72,0,9194.37,6666.1,72.5,16274.03,2921,55,1500,0,1.900,WEPA4059
桃園市垃圾焚化廠,202601,17301.28,2777.43,20663.44,2888.38,253.01,1650,13277.25,11471.01,86.39,30542.43,803,685,1350,0,2.200,WEPH4335
彰化縣溪州垃圾焚化廠,202601,23440.78,2988.69,23965.91,3378.31,808.42,12132.42,14060.3,11907.2,84.68,29681.14,1334,154,900,709.31,0.700,WEPN3259
苗栗縣垃圾焚化廠,202601,10887.29,527.5,12270.58,1668.9,707.57,6530.74,7363.26,5884.01,79.91,14983.6,1370,118,500,707.57,-1.000,WEPK0322
新竹市垃圾資源回收廠,202601,7440.85,2698.71,8890.02,826.76,66.91,2840,0,0,0,0,576,912,900,450.19,1.900,WEPO1732
苗栗縣垃圾焚化廠,202602,10832.28,404.73,10621.42,1413.83,298.92,5862.84,6636.13,5238.74,78.94,12371.28,1226,118,500,298.92,1.600,WEPK0322
基隆市天外天垃圾資源回收(焚化)廠,202601,12541.77,3814.09,17766.83,2472.09,625.93,5655.09,10965.61,8886.76,81.04,23996.52,1488,0,600,625.93,1.600,WEPC1448
新北市新店垃圾焚化廠,202601,14533.69,4630.6,19872.7,2063.05,467.12,85,9856.4,8031.4,81.48,20333.32,1458,30,900,467.12,0.700,WEPF0537
高雄市政府環境保護局南區資源回收廠,202601,9715.13,4577.88,6585.9,2250.1,1304.14,2536,908.75,422.4,46.48,1115.34,678,2298,1800,1304.14,-1.000,WEPE5641
高雄市岡山垃圾資源回收(焚化)廠,202601,9400.43,17053.4,31422.97,5904.69,3851.32,17604.3,18739.5,15111.3,80.63,40310,2199,33,1350,3851.32,3.200,WEPS1656
臺東縣垃圾焚化廠,202601,8294.22,329.41,7678.35,388.27,312.08,1488,3851.52,3180,82.56,8039.518,1488,0,300,312.08,1.400,WEPV9500
高雄市仁武垃圾資源回收(焚化)廠,202602,15047.06,11532.7,29919.36,3793.68,0,400,20570.4,17404.3,84.6,42351.73,1966,50,1350,0,1.200,WEPS2225
臺北市政府環境保護局內湖垃圾焚化廠,202601,5857.08,9510.69,14336.12,1736.19,323.52,6146.4,3251.37,1709.6,52.58,4608.022,2072,160,900,0,1.400,WEPA4244
臺南市城西垃圾焚化廠,202601,13968.38,4357.09,17417.54,2452.45,2246.08,4685.52,10034.64,7829.04,78.02,20566.69,1488,0,900,2246.08,-1.000,WEPD3244
臺中市文山垃圾焚化廠,202602,16970.33,0.15,16062.43,1725.4,0,8952.93,7219.24,5824.16,80.67,14168.89,2016,0,900,0,1.400,WEPB2401
高雄市仁武垃圾資源回收(焚化)廠,202601,19516.55,16371.74,35713.29,5224.87,0,700,23075.1,19595.3,84.91,49458.21,2180,52,1350,0,1.400,WEPS2225
新北市新店垃圾焚化廠,202602,13424.89,4553.21,17528,2015.57,384.85,85,9011.8,7324.6,81.27,17201.03,1344,0,900,384.85,0.700,WEPF0537
臺南市城西垃圾焚化廠,202602,11295.17,3176.37,15437.33,2060.73,0,4326.96,9084,7052.64,77.63,17287.5,1344,0,900,0,-1.000,WEPD3244
臺中市文山垃圾焚化廠,202601,15844.59,242.58,18126.46,2255.99,0,10090.72,8059.96,6459.52,80.14,16830.15,2232,0,900,0,2.000,WEPB2401
宜蘭縣利澤垃圾資源回收(焚化)廠,202601,9244.13,5556.65,12061.48,2119.43,780.74,5880,6434.1,5223.6,81.18,13984.05,961,527,600,780.74,-1.000,WEPG3008
臺南市永康垃圾資源回收(焚化)廠,202602,20015.39,2184.84,20590.34,2455.04,1307.07,8485,13279.86,11089.71,83.5,27814.72,1257,87,900,1307.07,-1.000,WEPR8506
臺中市烏日資源回收廠,202602,12417.71,7787.68,21020.21,2408.66,910.44,11011.25,14736.58,11973.23,81.24,26775.49,1280,64,900,0,-1.000,WEPL0028
桃園市垃圾焚化廠,202602,28445.22,3438.26,31326.68,4401.27,383.53,2550,22179.38,19948.24,89.94,48306.29,1256,88,1350,0,-1.000,WEPH4335
臺北市政府環境保護局內湖垃圾焚化廠,202602,5420.75,3951.45,13320.66,1576.99,481.94,6112.6,3225.62,1800,55.8,4435.079,1929,87,900,0,-1.000,WEPA4244
臺中市后里資源回收廠,202602,10224.14,10879.76,21359.01,2458.41,1084.15,10000.47,12313.4,10092.6,81.96,26626.39,1344,0,900,1084.15,-1.000,WEPL9232
基隆市天外天垃圾資源回收(焚化)廠,202602,12371.76,3334.72,16147.9,1789.75,323.7,5108.41,10167.1,8284.2,81.48,20395.52,1344,0,600,323.7,-1.000,WEPC1448
臺北市政府環境保護局木柵垃圾焚化廠,202602,9428.31,9040.25,24523.1,3660.4,516.99,0,8370.83,6015.1,71.85,13619.51,2635,53,1500,0,1.400,WEPA4059
臺東縣垃圾焚化廠,202602,6139.28,394.73,5528.41,1378.82,409,1072,2755.2,2154.24,78.18,4884.625,1072,272,300,409,2.300,WEPV9500
新北市樹林垃圾焚化廠,202602,18531.61,6922.22,23449.9,2680.78,424.98,0,13783.9,11614.23,84.25,27125.44,2016,0,1350,424.98,0.500,WEPF0759
高雄市政府環境保護局中區資源回收廠,202602,19113.2,82.55,17380.04,1622.16,758.75,12804,6392.55,4353.7,68.1,9821.605,1670,346,900,758.75,2.600,WEPE5004
屏東縣崁頂垃圾資源回收(焚化)廠,202602,14763.29,4135.32,19559.55,2851.97,429.69,6278.81,12414.96,9901.74,79.75,23607.92,1286,58,900,429.69,0.500,WEPT5929
新北市樹林垃圾焚化廠,202601,18112.89,8345.92,26476.6,3389.47,587.02,0,14996.9,12670.13,84.48,30672.86,2196,36,1350,587.02,0.300,WEPF0759
臺南市永康垃圾資源回收(焚化)廠,202511,13637.77,2136.69,12463.11,1248.38,1089.02,4826,6450.54,5144.64,79.75,12992.57,715,725,900,1089.02,2.000,WEPR8506
屏東縣崁頂垃圾資源回收(焚化)廠,202511,21028.49,4144.71,23879.89,3633.91,824.91,6859.48,12969.99,10507.93,81.01,26055.7,1383,57,900,824.91,0.500,WEPT5929
嘉義縣鹿草垃圾焚化廠,202510,19210.59,7700.55,27364.4,5223.84,744.15,148.8,18111,15016.5,82.91,39343.77,1488,0,900,563.28,0.900,WEPQ7513
臺中市烏日資源回收廠,202511,6795.12,7043.59,13206.42,1110.4,791.57,6803.34,7271.68,5412.33,74.43,13671.17,791,649,900,0,-1.000,WEPL0028
臺北市政府環境保護局內湖垃圾焚化廠,202511,5175.85,6403.31,14262.32,1378.16,475.13,6870.7,3225.49,1740,53.94,4651.648,2160,0,900,0,1.600,WEPA4244
臺北市政府環境保護局北投垃圾焚化廠,202511,8525.83,14844.18,12284.82,1293.27,672.31,4576,4384.49,2678.4,61.08,6225.289,830,2050,1800,0,0.500,WEPA4427
嘉義縣鹿草垃圾焚化廠,202511,15987.76,4794.96,22391.27,3728.18,910.53,122.5,14693.1,12331.9,83.92,30462.68,1213,227,900,910.53,0.800,WEPQ7513
臺南市城西垃圾焚化廠,202511,9464.73,4327.69,12047.88,1790.68,1495.41,3318.85,6409.68,4421.04,68.97,11123.45,1054,386,900,1495.41,-1.000,WEPD3244
臺中市文山垃圾焚化廠,202512,14849.51,0,12579.38,1196.75,0,6868.3,4221.43,2708.26,64.15,7199.469,1528,704,900,0,1.700,WEPB2401
新北市新店垃圾焚化廠,202512,14933.29,4010.34,19673.1,2484.12,434.9,80,9825.3,7954.43,80.95,19135.75,1455,33,900,434.9,0.500,WEPF0537
高雄市政府環境保護局中區資源回收廠,202512,8379.28,80.41,6504.13,877.7,570.13,5325,0,0,0,0,630,1602,900,570.13,1.600,WEPE5004
新北市樹林垃圾焚化廠,202512,19412.27,7682.81,28405.3,3554.23,652.04,0,15397.1,12979.2,84.29,33024.41,2232,0,1350,652.04,1.000,WEPF0759
桃園市垃圾焚化廠,202512,36253.24,2046.23,37783.24,5627,458.14,2860,24405.3,21736.31,89.06,57434.41,1405,83,1350,0,-1.000,WEPH4335
基隆市天外天垃圾資源回收(焚化)廠,202512,10784.13,3237.78,8990.11,1244.15,417.29,2821.97,5179.73,3881.79,74.94,10082.8,735,753,600,417.29,-1.000,WEPC1448
新北市八里垃圾焚化廠,202511,26358.87,13485.55,39352.93,4592.62,1200.71,7672,22102.5,19053.65,86.2,47801.93,2160,0,1350,1200.71,0.100,WEPF2314
臺南市永康垃圾資源回收(焚化)廠,202512,21781.64,3066.2,24453.9,3301.31,552.81,9835,15259.16,12757.02,83.6,34020.44,1457,31,900,552.81,-1.000,WEPR8506
新北市樹林垃圾焚化廠,202511,12377.76,6152.56,16354.7,2394.76,470.77,0,4763.3,3852.21,80.87,8269.535,1333,827,1350,470.77,1.300,WEPF0759
臺中市文山垃圾焚化廠,202511,20812.98,0,16095.48,1601.55,0,8187.56,5844.25,4270.31,73.06,11068.66,1939,221,900,0,0.200,WEPB2401
嘉義市垃圾焚化廠,202511,6209.38,0,6291.75,663.89,0,1635.6,1744.84,1197.47,68.62,3381.568,1440,0,300,0,-1.000,WEPI2617
臺東縣垃圾焚化廠,202511,5053.9,512.99,5899.95,307.14,163.4,1116,2645.59,2094.02,79.15,5223.483,1116,324,300,163.4,1.400,WEPV9500
彰化縣溪州垃圾焚化廠,202512,21783.94,3430.55,26443.66,3358.3,928.41,13638.47,15894.1,13537.6,85.17,36237.66,1488,0,900,801.97,2.100,WEPN3259
高雄市岡山垃圾資源回收(焚化)廠,202512,11145.68,24653.08,30995.28,5509.78,1889.06,17266,18947.1,15314.6,80.82,40035,2155,77,1350,1889.06,2.400,WEPS1656
高雄市政府環境保護局南區資源回收廠,202511,15476.87,11049.37,23940.45,3693.53,1547.23,9242,10604.93,6976,65.78,16101.58,2060,820,1800,1547.23,2.500,WEPE5641
苗栗縣垃圾焚化廠,202511,11466.27,522.25,13050.07,1527.73,731.9,6788.11,7980,6411.25,80.34,17015.58,1440,0,500,731.9,0.100,WEPK0322
苗栗縣垃圾焚化廠,202512,12632.43,548.19,13435.45,1301.84,409.78,7018.29,8244.79,6688.89,81.12,17948.24,1488,0,500,409.78,-1.000,WEPK0322
臺東縣垃圾焚化廠,202512,7542.6,515.01,7633.08,0,0,1377,3689.04,3040.56,82.42,8046.105,1377,111,300,0,1.100,WEPV9500
屏東縣崁頂垃圾資源回收(焚化)廠,202512,20791.04,4893.53,23185.9,3608.8,539.4,3814,13802.21,11237.6,81.41,29035.03,1488,0,900,539.4,0.400,WEPT5929
新北市八里垃圾焚化廠,202512,29594.8,11088.91,40133.06,5312.81,1570.23,7996,23180.55,20013.97,86.33,50901.32,2232,0,1350,1570.23,0.700,WEPF2314
宜蘭縣利澤垃圾資源回收(焚化)廠,202512,9249.66,6332.3,19248.13,2589.29,1203.97,8928,10387.87,8630.8,83.08,22369.89,1488,0,600,1203.97,-1.000,WEPG3008
嘉義市垃圾焚化廠,202512,6315.89,0,6230.28,834.69,0,1748.53,1803.18,1253.25,69.5,3613.439,1485,3,300,0,2.900,WEPI2617
臺中市烏日資源回收廠,202512,16783.39,9278.95,26465.3,2548.33,473.77,12648.49,16195.3,13027.61,80.44,34794.85,1488,0,900,0,-1.000,WEPL0028
高雄市仁武垃圾資源回收(焚化)廠,202512,18817.81,14975.94,36207.4,4491.11,1777.65,300,23066.8,19361.9,83.93,49940.73,2192,40,1350,1777.65,2.400,WEPS2225
高雄市政府環境保護局南區資源回收廠,202512,16329,7142.41,20580.17,3461.27,1584.18,8446,7833.26,4451.2,56.82,10600.44,1700,1276,1800,1584.18,-1.000,WEPE5641
臺南市城西垃圾焚化廠,202512,5890.11,4304.49,9889.88,1528.33,1074.88,2908.6,5688,4265.76,74.99,11033.93,914,574,900,1074.88,1.400,WEPD3244
臺中市后里資源回收廠,202512,10749.67,11117.46,20904.05,1808.72,1193.66,9938.67,12157.2,9908.2,81.5,26055.54,1337,151,900,1193.66,-1.000,WEPL9232
臺北市政府環境保護局內湖垃圾焚化廠,202512,6724.28,10024.05,15092.63,1553.14,821.5,11347.4,3148.24,1564.4,49.69,4275.752,2232,0,900,0,2.300,WEPA4244
嘉義縣鹿草垃圾焚化廠,202512,16600.53,5755.81,27608.38,4459.55,907.06,148.8,18238.2,15470.5,84.82,39186.68,1488,0,900,907.06,1.300,WEPQ7513
臺北市政府環境保護局木柵垃圾焚化廠,202512,8159.5,14614.61,27510.18,3190.27,544.8,0,9270.96,6549.9,70.64,16267.46,2976,0,1500,0,1.300,WEPA4059
臺東縣垃圾焚化廠,202510,4886.94,253.97,5572.18,1161.38,310.93,1153,2459.28,1805.04,73.39,4865.065,1153,335,300,310.93,1.200,WEPV9500
臺北市政府環境保護局內湖垃圾焚化廠,202510,6313.52,12674.54,14760.54,1722.08,336.22,6075.7,3657.73,2048.4,56,5683.533,2232,0,900,0,1.300,WEPA4244
臺北市政府環境保護局北投垃圾焚化廠,202510,9306.18,14013.81,11426.21,3118.45,918.33,3517,5127.12,3283.2,64.03,8741.615,772,2204,1800,0,1.000,WEPA4427
新竹市垃圾資源回收廠,202510,9399.46,4253.38,13508.62,2720.1,553.7,4322,5552.473,4373.045,78.75,11362.07,1101,387,900,3273.8,2.000,WEPO1732
臺北市政府環境保護局北投垃圾焚化廠,202512,11050.37,17234.57,30428.99,2779.38,0,6134,12994.13,9403.2,72.36,22182.9,2083,893,1800,0,0.500,WEPA4427
宜蘭縣利澤垃圾資源回收(焚化)廠,202511,13025.06,5928.24,18708.34,2813.84,957.97,8928,10024.09,8303.2,82.83,21219.47,1440,0,600,957.97,0.400,WEPG3008
高雄市仁武垃圾資源回收(焚化)廠,202511,13005.37,12325.64,23732.79,3232.77,883.56,1200,13659.6,10732.8,78.57,26481.5,1437,723,1350,339.26,0.300,WEPS2225
高雄市政府環境保護局中區資源回收廠,202511,14653.42,75.19,12465.09,1244.4,2176.95,4452,2207.89,928.84,42.06,1895.909,1416,744,900,2176.95,0.200,WEPE5004
新北市樹林垃圾焚化廠,202510,18290.61,8486.38,28025.1,3577.04,604.97,0,15096.6,12378.47,81.99,32611.75,2232,0,1350,604.97,1.500,WEPF0759
高雄市仁武垃圾資源回收(焚化)廠,202510,15146.14,19913.02,28589.89,5192.14,2287.09,600,17228.3,13579.2,78.81,34804.5,1787,445,1350,1820.14,0.600,WEPS2225
高雄市岡山垃圾資源回收(焚化)廠,202510,7437.87,9211.76,14078.68,3071.98,840.07,6630,6969,4560.6,65.44,12163,842,1390,1350,840.07,4.400,WEPS1656
新竹市垃圾資源回收廠,202512,4491.9,2552.23,0,310.62,0,0,0,0,0,0,0,1488,900,310.62,-1.000,WEPO1732
基隆市天外天垃圾資源回收(焚化)廠,202511,11932.02,4021,17013.7,2051.5,1109.56,5315.65,10213.93,8156.92,79.86,20935.4,1396,44,600,1109.56,-1.000,WEPC1448
新北市八里垃圾焚化廠,202510,20815.51,10003.11,30871.79,4042.54,1064.95,5412,17927.51,14907.47,83.15,38213.4,1764,468,1350,1064.95,2.000,WEPF2314
新北市新店垃圾焚化廠,202511,15078.35,5378.73,19163.3,2317.68,396.29,80,9775.6,7851.81,80.32,19778.14,1440,0,900,396.29,0.500,WEPF0537
臺北市政府環境保護局木柵垃圾焚化廠,202511,9473.23,20661.81,23101.15,2367.05,219.03,0,8355.05,5997.6,71.78,14525.04,2588,292,1500,0,1.000,WEPA4059
桃園市垃圾焚化廠,202511,26244.63,1540.26,26466.87,4188.94,382.66,2139,17791.7,15691.89,88.19,40748.18,1065,375,1350,0,-1.000,WEPH4335
苗栗縣垃圾焚化廠,202510,13168.66,547.89,13546.95,1818.98,512.12,7009.74,8129.5,6447.74,79.31,18024.21,1488,0,500,512.12,-1.000,WEPK0322
新北市新店垃圾焚化廠,202510,14227.33,5049.11,19578.1,2396.14,437.12,80,9799.6,7781.6,79.4,20583,1488,0,900,437.12,1.500,WEPF0537
宜蘭縣利澤垃圾資源回收(焚化)廠,202510,12220.08,6359.37,19108.63,2873.68,639.45,8928,10205.87,8392.8,82.23,22487.73,1488,0,600,639.45,-1.000,WEPG3008
新竹市垃圾資源回收廠,202511,6549,2648.69,3602.62,877.18,331.74,1152,0,0,0,0,336,1104,900,1208.92,0.300,WEPO1732
彰化縣溪州垃圾焚化廠,202511,22375.01,3061.73,25070.93,3070.71,680.62,13822.23,15144.5,12870.1,84.98,33794.31,1440,0,900,557.6,0.200,WEPN3259
桃園市垃圾焚化廠,202510,34093.22,3359.61,37009.1,5282.82,516.33,2976,24817.51,21879.47,88.16,61641.73,1488,0,1350,0,3.400,WEPH4335
臺南市永康垃圾資源回收(焚化)廠,202510,17956.82,3014.77,22445.01,3033.61,1174.29,9290,13917.99,11553.63,83.01,28801.08,1376,112,900,1174.29,-1.000,WEPR8506
高雄市政府環境保護局南區資源回收廠,202510,11167.55,6337.36,23246.8,3185.89,2289.57,11104,10265.73,6729.6,65.55,16735.42,2047,929,1800,2289.57,-1.000,WEPE5641
基隆市天外天垃圾資源回收(焚化)廠,202510,12240.91,3762.81,17168.61,2377.57,806.91,5488.48,10528.7,8350.31,79.3,23672.2,1439,49,600,806.91,1.550,WEPC1448
臺中市烏日資源回收廠,202510,12006.88,12225.64,23971.38,2942.47,751.43,12688.7,14828.48,11684.59,78.79,32448.42,1488,0,900,0,2.200,WEPL0028
臺南市城西垃圾焚化廠,202510,11593.56,4301.21,15063.32,2558.04,0,4156.97,8396.64,6129.6,73,16452.87,1303,185,900,0,-1.000,WEPD3244
臺中市文山垃圾焚化廠,202510,17333.32,0,17936.99,2153.73,0,10196.41,7904.52,6220.9,78.7,17143.88,2232,0,900,0,1.500,WEPB2401
嘉義市垃圾焚化廠,202510,5534.9,0,6207.42,915.95,0,1872.73,1796.36,1197.7,66.67,3516.153,1488,0,300,0,-1.000,WEPI2617
高雄市政府環境保護局中區資源回收廠,202510,17886.87,78.3,17095.83,2218.19,1415.5,9627,6014.69,3476.08,57.79,8153.739,2052,180,900,1415.5,1.800,WEPE5004
臺北市政府環境保護局木柵垃圾焚化廠,202510,8806.7,16394.08,25164.87,3765.28,344.88,0,8585.5,5982.9,69.68,15184.19,2833,143,1500,0,1.500,WEPA4059
高雄市岡山垃圾資源回收(焚化)廠,202511,9201.34,12949.52,23924.01,3409.02,1443.2,12842.2,13738.4,10685.1,77.77,27414,1604,556,1350,1443.2,0.400,WEPS1656
臺中市后里資源回收廠,202511,7236.14,12510.33,16693.21,1899.37,668.55,8227.53,9840.4,7897,80.25,19878.59,1025,415,900,668.55,-1.000,WEPL9232
彰化縣溪州垃圾焚化廠,202510,25334.44,3231.95,25850.34,3868.18,807.8,14076.27,15631.6,13257,84.8,36686.93,1488,0,900,688.46,1.500,WEPN3259
屏東縣崁頂垃圾資源回收(焚化)廠,202510,9284.99,2921.87,13577.01,2159.35,647.77,4083.87,6323.84,4298.5,67.97,11590.31,820,668,900,647.77,2.000,WEPT5929
臺中市后里資源回收廠,202510,5957.63,8757.41,15836.04,2346.35,867.82,8812.47,10177.7,8146.9,80.04,22194.87,1022,466,900,867.82,1.300,WEPL9232
嘉義縣鹿草垃圾焚化廠,202509,19397.37,7012.42,26453.91,4518.83,781.52,144,17108.3,14092,82.36,40101.57,1440,0,900,320.98,1.100,WEPQ7513
新竹市垃圾資源回收廠,202509,13905.94,4374.36,19789.69,3147.84,634.97,6333,12434.02,9947.84,80,28514.05,1440,0,900,2827.56,1.100,WEPO1732
臺東縣垃圾焚化廠,202509,5764.57,258.88,5689.53,1094.54,285.62,1169,2460.96,1755.6,71.33,5129.986,1169,271,300,285.62,1.500,WEPV9500
高雄市岡山垃圾資源回收(焚化)廠,202509,7751.58,15746.37,20242.37,3730.33,1051.95,11012.2,11296.3,8277.1,73.27,23613,1373,787,1350,1051.95,2.400,WEPS1656
彰化縣溪州垃圾焚化廠,202509,21371.38,2687.23,25174.96,3275.55,800.18,13636.71,15191.3,12952.2,85.26,38906.81,1436,4,900,670.5,1.200,WEPN3259
新北市八里垃圾焚化廠,202509,18528.64,8187.27,23560.39,2542.15,882.97,7595,12488.82,9869.11,79.02,25449.76,1426,734,1350,882.97,0.300,WEPF2314
高雄市政府環境保護局南區資源回收廠,202509,10662.76,7133.27,15348.53,2442.28,443.08,7120,5659.49,2691.2,47.55,7680.174,1392,1488,1800,443.08,2.300,WEPE5641
臺北市政府環境保護局內湖垃圾焚化廠,202509,5049.08,10146.24,14768.02,1647.72,420.15,7637.3,3803.93,2187.2,57.49,6622.475,2160,0,900,0,2.300,WEPA4244
臺中市文山垃圾焚化廠,202509,18208.5,0,17210.97,1888.36,0,9713.15,7681.89,6045.62,78.69,18034.53,2160,0,900,0,1.400,WEPB2401
高雄市政府環境保護局中區資源回收廠,202509,17539.24,81.66,16960.99,2220.26,676.1,10787,6187.92,3663.79,59.2,9774.358,2085,75,900,676.1,1.700,WEPE5004
基隆市天外天垃圾資源回收(焚化)廠,202509,12236.42,3671.25,16347.36,2168.18,717.69,5239.3,9984.16,7789.41,78.01,22253.84,1377,63,600,717.69,-1.000,WEPC1448
高雄市仁武垃圾資源回收(焚化)廠,202509,14768.42,17522.87,33386.52,4785.58,665.53,600,21927.9,17937.6,81.8,51612.17,2097,63,1350,665.53,1.700,WEPS2225
臺南市城西垃圾焚化廠,202509,10659.28,4362.77,15635.11,2622.82,0,4590.96,9484.08,7220.88,76.13,21819.44,1440,0,900,0,2.700,WEPD3244
新北市新店垃圾焚化廠,202509,14752.01,4788.28,18346.4,2064.44,496.7,125,9406.9,7454.46,79.24,21459.36,1440,0,900,496.7,0.800,WEPF0537
嘉義市垃圾焚化廠,202509,5858.69,0,6019.02,1518.58,0,1671.23,1744.46,1157.25,66.33,3688.985,1440,0,300,0,2.400,WEPI2617
臺中市烏日資源回收廠,202509,12286.67,9182.44,21147.94,2824.31,1897.96,11240.65,13280.67,10295.74,77.52,30878.37,1330,110,900,964.53,-1.000,WEPL0028
臺中市后里資源回收廠,202509,12699.94,11596.98,22938.38,2846,853.69,11721.38,13773.7,11284.5,81.92,33645.54,1440,0,900,853.69,-1.000,WEPL9232
桃園市垃圾焚化廠,202509,27539.29,3974.12,30231.98,4563.29,426.07,2516,21139.09,18481.13,87.42,53657.8,1239,201,1350,0,-1.000,WEPH4335
臺北市政府環境保護局木柵垃圾焚化廠,202509,8798.84,17559.21,21477,2894.66,345.4,0,7644.03,5168.1,67.6,14165.39,2525,355,1500,0,2.700,WEPA4059
苗栗縣垃圾焚化廠,202509,13481.65,546.29,13221.79,1719.82,795.91,6558.17,7631.01,5974.75,78.29,17282.93,1387,53,500,795.91,-1.000,WEPK0322
宜蘭縣利澤垃圾資源回收(焚化)廠,202509,11500.02,6690.71,18104.63,3412.34,616.56,8640,9786.59,7935.8,81.08,22998.26,1440,0,600,616.56,0.500,WEPG3008
臺南市永康垃圾資源回收(焚化)廠,202509,19785.83,3654.82,23520.85,3196.1,1341.21,9720,14812.87,12339.69,83.3,36736.86,1440,0,900,1341.21,-1.000,WEPR8506
新北市樹林垃圾焚化廠,202509,17715.19,8089.03,25790.2,2736.53,676.59,0,14395.1,11814.61,82.07,33739.55,2160,0,1350,676.59,1.000,WEPF0759
臺北市政府環境保護局北投垃圾焚化廠,202509,8918.41,15518.04,28973.66,3693.18,1237.03,5494,14103.78,9628.8,68.27,26406.17,2037,843,1800,0,0.500,WEPA4427
屏東縣崁頂垃圾資源回收(焚化)廠,202509,19327.15,4103.5,21112.64,3688.09,835.02,7169.3,11510.53,8991.51,78.11,26595.54,1436,4,900,835.02,1.300,WEPT5929
臺中市文山垃圾焚化廠,202505,15010.45,0,16651.81,1896.97,0,9331.41,7097.69,5400.65,76.09,14625.58,2006,226,900,0,1.800,WEPB2401
臺東縣垃圾焚化廠,202505,5813.37,291.03,6483.22,1783.09,236.02,2976,2988,2241.6,75.02,6469.926,1488,0,300,236.02,2.200,WEPV9500
臺中市后里資源回收廠,202505,15219.17,12029.47,24463.9,3035.27,1076.81,12403.46,12087.7,10088.2,83.45,25752.71,1488,0,900,1076.81,-1.000,WEPL9232
嘉義縣鹿草垃圾焚化廠,202505,17962.19,4728.96,26423.81,3477.24,1062.8,142.3,16880.2,13905.5,82.37,36487.58,1422,66,900,1062.8,2.000,WEPQ7513
高雄市政府環境保護局中區資源回收廠,202505,15122.23,113.26,12447.97,255.61,807.69,11786,2894.17,1180.58,40.79,2496.029,1580,652,900,807.69,2.300,WEPE5004
